"V1","V2","labels"
-0.6203498179093,0.796524516306818,1
-0.591250127647072,-0.31922706682235,-1
0.529209357686341,0.374471327289939,-1
0.261988135520369,0.552634310908616,-1
-0.0185537934303284,-0.722560566384345,-1
-0.777611446101218,0.00652594678103924,-1
-0.977726864162832,-0.950264999642968,1
0.946744769345969,0.918244244996458,1
0.0529683441855013,0.71238062530756,-1
0.551260491833091,0.7262923871167,1
0.763271891046315,-0.274299006909132,1
0.652235965710133,0.776860825251788,1
-0.244810182601213,0.556712792720646,-1
0.991791380103678,0.0444167661480606,1
0.442583650350571,0.0211855419911444,-1
0.942601650487632,-0.227219100110233,1
0.648034955840558,0.442123633343726,-1
0.80047111492604,-0.620880574919283,1
0.779500358272344,-0.164771864190698,-1
-0.472139562945813,-0.850470039993525,1
-0.247086253017187,0.653984771575779,-1
0.808314692694694,-0.668703188188374,1
-0.888101644814014,0.135538656730205,1
0.0216072495095432,-0.64658076968044,-1
-0.509134598542005,-0.626550782006234,1
0.394632803741843,0.328570493031293,-1
-0.378766456618905,0.218317857012153,-1
0.928189567290246,0.756535588763654,1
0.51151519594714,-0.318803344853222,-1
0.710028062574565,-0.110902327578515,-1
0.724644252564758,0.630783071741462,1
0.995354101527482,0.960195215884596,1
-0.728198645170778,0.845758823677897,1
0.122293482534587,-0.875107853673398,1
-0.426171802449971,0.853793768212199,1
0.838647065218538,0.881395688746125,1
0.923414783086628,-0.485105117317289,1
0.984518931712955,0.083365601953119,1
-0.0140349785797298,0.594223870895803,-1
-0.346349612344056,-0.979797205887735,1
-0.594171264674515,-0.480074612889439,-1
0.678057142067701,0.813476437237114,1
0.711598581168801,0.236513135023415,-1
-0.555712329689413,-0.196987278293818,-1
0.272762204520404,0.360944605432451,-1
0.436925095971674,-0.492960962466896,-1
0.053957948461175,-0.269624579232186,-1
0.979204973671585,-0.473750482313335,1
-0.689781772904098,-0.364099626429379,-1
0.0914156390354037,-0.701996013522148,-1
0.861778426449746,0.765355564653873,1
